field_1,lat,long,input_address,estblishment in ent dist_IsEnt
310,43.7081429,-79.3909017,"223 EGLINTON AVE E, Toronto, ON, Canada",
311,43.678993,-79.555769,"10 DENFIELD ST , Toronto, ON, Canada",
312,43.7638785,-79.401683,"200 SHEPPARD AVE E, Toronto, ON, Canada",
313,43.766645,-79.4004051,"157 WILLOWDALE AVE , Toronto, ON, Canada",
314,43.6605437,-79.3689506,"349 ONTARIO ST , Toronto, ON, Canada",
315,43.7092502,-79.3414118,"10 WILLIAM MORGAN DR , Toronto, ON, Canada",
316,43.6717109,-79.4054592,"123 SPADINA RD , Toronto, ON, Canada",
317,43.6639721,-79.408671,"725 BATHURST ST , Toronto, ON, Canada",
318,43.6494216,-79.3630202,"33 HAHN PL , Toronto, ON, Canada",
319,43.6143835,-79.3776637,"1 CENTRE ISLAND PK , Toronto, ON, Canada",
320,43.6576089,-79.4137061,"460 MANNING AVE , Toronto, ON, Canada",
321,43.6778198,-79.4449413,"1224 ST CLAIR AVE W, Toronto, ON, Canada",
322,43.6482483,-79.3733593,"67 FRONT ST E, Toronto, ON, Canada",
323,43.7271943,-79.5143258,"100 CHALKFARM DR , Toronto, ON, Canada",
324,43.7446093,-79.2983409,"1960 LAWRENCE AVE E, Toronto, ON, Canada",
325,43.6451684,-79.3654586,"201 QUEENS QUAY  W, Toronto, ON, Canada",
326,43.7155788,-79.3339127,"9 GRENOBLE DR , Toronto, ON, Canada",
327,43.6663598,-79.3475898,"729 GERRARD ST E, Toronto, ON, Canada",
328,43.7067881,-79.3757643,"1640 BAYVIEW AVE , Toronto, ON, Canada",
329,43.6485387,-79.4094869,"79 MANNING AVE , Toronto, ON, Canada",
330,43.6660312,-79.3526482,"383 BROADVIEW AVE , Toronto, ON, Canada",
331,43.7977172,-79.1377251,"111 ISLAND RD , Toronto, ON, Canada",
332,43.7998434,-79.278822,"109 CHARTLAND BLVD S, Toronto, ON, Canada",
333,43.8174802,-79.3047888,"3300 KENNEDY RD , Toronto, ON, Canada",
334,43.654828,-79.4009621,"182 BALDWIN ST , Toronto, ON, Canada",
335,43.6540802,-79.3339703,"500 COMMISSIONERS ST , Toronto, ON, Canada",
336,43.7565123,-79.4777276,"4000 CHESSWOOD DR , Toronto, ON, Canada",
337,43.6569819,-79.4524255,"2340 DUNDAS ST W, Toronto, ON, Canada",
338,43.6874892,-79.3514999,"115 GOWAN AVE , Toronto, ON, Canada",
339,43.7984224,-79.3316498,"201 CHESTER LE BLVD , Toronto, ON, Canada",
